date,player_a,player_b,score_a,score_b
2025-05-04,Dan Lynch,Edgardo Aninao,3,0
2025-05-04,Dave Whitelaw,John Hilton,0,3
2025-05-04,Tim Olencewicz,Areeb Ahamed,3,1
2025-05-04,Bradley Joyes,Aum Boonsmer,3,0
2025-05-04,Steven Greenland,Jerry Cantoria,1,3
2025-05-04,Nikki Caulfield,Adam Grace,0,3
2025-05-04,Edward Solon,Juan Lee,3,0
2025-05-04,Mick Caris,Ricky Perkins,0,3
2025-05-04,Troy George,Ryder Stanton,3,1
2025-05-04,Sandy Enriquez,Luke Rokovada,3,0
2025-05-04,Robbie Savage,Daniel Graetz,3,1
2025-05-04,Nestor Boy Dela Cruz,Morgan Cunningham,1,3
2025-05-04,Ahmer Abbasi,Matthew Wicks,0,3
2025-05-04,Jayrick Ngai,Dean Taylor,3,1
2025-05-04,Guy Hodgetts,Callum Saunders,1,3
2025-05-04,Steven Siu,Ross Scott,0,3
2025-05-04,Travis Crawley,Dan Lynch,4,2
2025-05-04,John Hilton,Melanie Sanders,4,3
2025-05-04,Brad Abdilla,Tim Olencewicz,4,1
2025-05-04,Bradley Joyes,Trai Chan,1,4
2025-05-04,Matthew Diatschenko,Jerry Cantoria,4,1
2025-05-04,Adam Grace,Peter Barnes,4,1
2025-05-04,Jason Kyranis,Edward Solon,4,0
2025-05-04,Ricky Perkins,Scott Mckay,0,4
2025-05-04,Chris Beagley,Troy George,4,1
2025-05-04,Sandy Enriquez,Scott Coburn,4,3
2025-05-04,Ruel Dancel,Robbie Savage,4,2
2025-05-04,Morgan Cunningham,Jamie Buettner,3,4
2025-05-04,Chris Davis,Matthew Wicks,4,1
2025-05-04,Jayrick Ngai,Choco Khan,1,4
2025-05-04,Paul Llano,Callum Saunders,4,1
2025-05-04,Ross Scott,Paul Pike,1,4
2025-05-04,Travis Crawley,John Hilton,5,1
2025-05-04,Brad Abdilla,Trai Chan,2,5
2025-05-04,Matthew Diatschenko,Adam Grace,2,5
2025-05-04,Jason Kyranis,Scott Mckay,1,5
2025-05-04,Chris Beagley,Sandy Enriquez,5,0
2025-05-04,Ruel Dancel,Jamie Buettner,1,5
2025-05-04,Chris Davis,Choco Khan,5,4
2025-05-04,Paul Llano,Paul Pike,3,5
2025-05-04,Travis Crawley,Trai Chan,6,3
2025-05-04,Adam Grace,Scott Mckay,0,6
2025-05-04,Chris Beagley,Jamie Buettner,6,5
2025-05-04,Chris Davis,Paul Pike,4,6
2025-05-04,Steven Greenland,Dan Lynch,2,4
2025-05-04,Nikki Caulfield,Melanie Sanders,1,4
2025-05-04,Juan Lee,Tim Olencewicz,4,3
2025-05-04,Mick Caris,Bradley Joyes,4,0
2025-05-04,Jerry Cantoria,Edgardo Aninao,4,0
2025-05-04,Peter Barnes,Dave Whitelaw,4,0
2025-05-04,Edward Solon,Areeb Ahamed,4,2
2025-05-04,Ricky Perkins,Aum Boonsmer,1,4
2025-05-04,Ahmer Abbasi,Troy George,4,3
2025-05-04,Dean Taylor,Scott Coburn,1,4
2025-05-04,Guy Hodgetts,Robbie Savage,0,4
2025-05-04,Steven Siu,Morgan Cunningham,4,2
2025-05-04,Matthew Wicks,Ryder Stanton,3,4
2025-05-04,Jayrick Ngai,Luke Rokovada,4,0
2025-05-04,Callum Saunders,Daniel Graetz,3,4
2025-05-04,Ross Scott,Nestor Boy Dela Cruz,3,4
2025-05-04,Dan Lynch,Melanie Sanders,0,4
2025-05-04,Juan Lee,Mick Caris,4,2
2025-05-04,Jerry Cantoria,Peter Barnes,0,4
2025-05-04,Edward Solon,Aum Boonsmer,4,1
2025-05-04,Ahmer Abbasi,Scott Coburn,2,4
2025-05-04,Robbie Savage,Steven Siu,4,2
2025-05-04,Ryder Stanton,Jayrick Ngai,4,2
2025-05-04,Daniel Graetz,Nestor Boy Dela Cruz,4,3
2025-05-04,Melanie Sanders,Sandy Enriquez,4,0
2025-05-04,Juan Lee,Ruel Dancel,4,0
2025-05-04,Choco Khan,Peter Barnes,4,2
2025-05-04,Paul Llano,Edward Solon,4,0
2025-05-04,Scott Coburn,John Hilton,4,1
2025-05-04,Robbie Savage,Brad Abdilla,4,3
2025-05-04,Matthew Diatschenko,Ryder Stanton,4,2
2025-05-04,Jason Kyranis,Daniel Graetz,4,2
2025-05-04,Melanie Sanders,Juan Lee,3,4
2025-05-04,Choco Khan,Paul Llano,4,1
2025-05-04,Scott Coburn,Robbie Savage,4,1
2025-05-04,Matthew Diatschenko,Jason Kyranis,4,2
2025-05-04,Juan Lee,Trai Chan,2,4
2025-05-04,Choco Khan,Adam Grace,4,2
2025-05-04,Scott Coburn,Jamie Buettner,4,2
2025-05-04,Matthew Diatschenko,Chris Davis,4,3
